0,NONE
001,Master Ball
002,Ultra Ball
003,Great Ball
004,Poké Ball
005,Safari Ball
006,Net Ball
007,Dive Ball
008,Nest Ball
009,Repeat Ball
010,Timer Ball
011,Luxury Ball
012,Premier Ball
013,Dusk Ball
014,Heal Ball
015,Quick Ball
016,Cherish Ball
017,Potion
018,Antidote
019,Burn Heal
020,Ice Heal
021,Awakening
022,Parlyz Heal
023,Full Restore
024,Max Potion
025,Hyper Potion
026,Super Potion
027,Full Heal
028,Revive
029,Max Revive
030,Fresh Water
031,Soda Pop
032,Lemonade
033,Moomoo Milk
034,EnergyPowder
035,Energy Root
036,Heal Powder
037,Revival Herb
038,Ether
039,Max Ether
040,Elixir
041,Max Elixir
042,Lava Cookie
043,Berry Juice
044,Sacred Ash
045,HP Up
046,Protein
047,Iron
048,Carbos
049,Calcium
050,Rare Candy
051,PP Up
052,Zinc
053,PP Max
054,Old Gateau
055,Guard Spec.
056,Dire Hit
057,X Attack
058,X Defense
059,X Speed
060,X Accuracy
061,X Special
062,X Sp. Def
063,Poké Doll
064,Fluffy Tail
065,Blue Flute
066,Yellow Flute
067,Red Flute
068,Black Flute
069,White Flute
070,Shoal Salt
071,Shoal Shell
072,Red Shard
073,Blue Shard
074,Yellow Shard
075,Green Shard
076,Super Repel
077,Max Repel
078,Escape Rope
079,Repel
080,Sun Stone
081,Moon Stone
082,Fire Stone
083,Thunderstone
084,Water Stone
085,Leaf Stone
086,TinyMushroom
087,Big Mushroom
088,Pearl
089,Big Pearl
090,Stardust
091,Star Piece
092,Nugget
093,Heart Scale
094,Honey
095,Growth Mulch
096,Damp Mulch
097,Stable Mulch
098,Gooey Mulch
099,Root Fossil
100,Claw Fossil
101,Helix Fossil
102,Dome Fossil
103,Old Amber
104,Armor Fossil
105,Skull Fossil
106,Rare Bone
107,Shiny Stone
108,Dusk Stone
109,Dawn Stone
110,Oval Stone
111,Odd Keystone
112,Griseous Orb
113,unknown
114,unknown
115,unknown
116,unknown
117,unknown
118,unknown
119,unknown
120,unknown
121,unknown
122,unknown
123,unknown
124,unknown
125,unknown
126,unknown
127,unknown
128,unknown
129,unknown
130,unknown
131,unknown
132,unknown
133,unknown
134,unknown
135,Adamant Orb
136,Lustrous Orb
137,Grass Mail
138,Flame Mail
139,Bubble Mail
140,Bloom Mail
141,Tunnel Mail
142,Steel Mail
143,Heart Mail
144,Snow Mail
145,Space Mail
146,Air Mail
147,Mosaic Mail
148,Brick Mail
149,Cheri Berry
150,Chesto Berry
151,Pecha Berry
152,Rawst Berry
153,Aspear Berry
154,Leppa Berry
155,Oran Berry
156,Persim Berry
157,Lum Berry
158,Sitrus Berry
159,Figy Berry
160,Wiki Berry
161,Mago Berry
162,Aguav Berry
163,Iapapa Berry
164,Razz Berry
165,Bluk Berry
166,Nanab Berry
167,Wepear Berry
168,Pinap Berry
169,Pomeg Berry
170,Kelpsy Berry
171,Qualot Berry
172,Hondew Berry
173,Grepa Berry
174,Tamato Berry
175,Cornn Berry
176,Magost Berry
177,Rabuta Berry
178,Nomel Berry
179,Spelon Berry
180,Pamtre Berry
181,Watmel Berry
182,Durin Berry
183,Belue Berry
184,Occa Berry
185,Passho Berry
186,Wacan Berry
187,Rindo Berry
188,Yache Berry
189,Chople Berry
190,Kebia Berry
191,Shuca Berry
192,Coba Berry
193,Payapa Berry
194,Tanga Berry
195,Charti Berry
196,Kasib Berry
197,Haban Berry
198,Colbur Berry
199,Babiri Berry
200,Chilan Berry
201,Liechi Berry
202,Ganlon Berry
203,Salac Berry
204,Petaya Berry
205,Apicot Berry
206,Lansat Berry
207,Starf Berry
208,Enigma Berry
209,Micle Berry
210,Custap Berry
211,Jaboca Berry
212,Rowap Berry
213,BrightPowder
214,White Herb
215,Macho Brace
216,Exp. Share
217,Quick Claw
218,Soothe Bell
219,Mental Herb
220,Choice Band
221,King's Rock
222,SilverPowder
223,Amulet Coin
224,Cleanse Tag
225,Soul Dew
226,DeepSeaTooth
227,DeepSeaScale
228,Smoke Ball
229,Everstone
230,Focus Band
231,Lucky Egg
232,Scope Lens
233,Metal Coat
234,Leftovers
235,Dragon Scale
236,Light Ball
237,Soft Sand
238,Hard Stone
239,Miracle Seed
240,BlackGlasses
241,Black Belt
242,Magnet
243,Mystic Water
244,Sharp Beak
245,Poison Barb
246,NeverMeltIce
247,Spell Tag
248,TwistedSpoon
249,Charcoal
250,Dragon Fang
251,Silk Scarf
252,Up-Grade
253,Shell Bell
254,Sea Incense
255,Lax Incense
256,Lucky Punch
257,Metal Powder
258,Thick Club
259,Stick
260,Red Scarf
261,Blue Scarf
262,Pink Scarf
263,Green Scarf
264,Yellow Scarf
265,Wide Lens
266,Muscle Band
267,Wise Glasses
268,Expert Belt
269,Light Clay
270,Life Orb
271,Power Herb
272,Toxic Orb
273,Flame Orb
274,Quick Powder
275,Focus Sash
276,Zoom Lens
277,Metronome
278,Iron Ball
279,Lagging Tail
280,Destiny Knot
281,Black Sludge
282,Icy Rock
283,Smooth Rock
284,Heat Rock
285,Damp Rock
286,Grip Claw
287,Choice Scarf
288,Sticky Barb
289,Power Bracer
290,Power Belt
291,Power Lens
292,Power Band
293,Power Anklet
294,Power Weight
295,Shed Shell
296,Big Root
297,Choice Specs
298,Flame Plate
